iter	Passed	Remaining
0	16	1640
1	32	1599
2	55	1794
3	70	1694
4	86	1635
5	100	1567
6	117	1566
7	130	1497
8	145	1466
9	158	1424
10	171	1384
11	184	1355
12	199	1334
13	220	1356
14	237	1344
15	254	1334
16	268	1309
17	281	1283
18	295	1257
19	308	1233
20	320	1206
21	337	1198
22	352	1178
23	365	1158
24	381	1143
25	395	1126
26	409	1107
27	426	1096
28	440	1079
29	455	1061
30	467	1041
31	481	1024
32	494	1004
33	507	985
34	523	972
35	542	963
36	555	946
37	567	926
38	582	910
39	595	893
40	611	880
41	628	867
42	641	850
43	654	833
44	668	816
45	684	803
46	697	787
47	711	770
48	725	754
49	738	738
50	750	721
51	766	707
52	780	691
53	793	675
54	807	660
55	822	646
56	837	631
57	870	630
58	892	619
59	907	604
60	929	594
61	945	579
62	958	563
63	975	548
64	988	532
65	1003	516
66	1015	500
67	1027	483
68	1046	470
69	1059	453
70	1072	438
71	1086	422
72	1101	407
73	1117	392
74	1130	376
75	1144	361
76	1157	345
77	1169	329
78	1185	315
79	1199	299
80	1212	284
81	1225	268
82	1238	253
83	1256	239
84	1268	223
85	1280	208
86	1294	193
87	1307	178
88	1320	163
89	1333	148
90	1345	133
91	1359	118
92	1372	103
93	1399	89
94	1421	74
95	1441	60
96	1464	45
97	1477	30
98	1492	15
99	1505	0
